Timestamp	Filename	Error	Message
2017-04-07 14:13:18.620 +0100	NewStarterRequest.fmp12	0	  Rebuilding library catalog 'Contacts' order list: quick reference 
2017-04-07 14:13:18.620 +0100	NewStarterRequest.fmp12	0	  Rebuilding library catalog 'Contacts' order list: type 
2017-04-07 14:13:18.621 +0100	NewStarterRequest.fmp12	0	  Evaluating library (129)
2017-04-07 14:13:18.621 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'CONTACT ID MATCHING FIELD' (1)
2017-04-07 14:13:18.621 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Title' (2)
2017-04-07 14:13:18.622 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'First' (3)
2017-04-07 14:13:18.622 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Last' (4)
2017-04-07 14:13:18.622 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Initial' (5)
2017-04-07 14:13:18.622 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Name' (6)
2017-04-07 14:13:18.622 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Name for Labels' (7)
2017-04-07 14:13:18.623 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Photo Container' (8)
2017-04-07 14:13:18.623 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Company' (10)
2017-04-07 14:13:18.623 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Job Title' (11)
2017-04-07 14:13:18.623 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Website' (12)
2017-04-07 14:13:18.623 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Group' (13)
2017-04-07 14:13:18.623 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Office Email' (14)
2017-04-07 14:13:18.624 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Personal Email' (15)
2017-04-07 14:13:18.624 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Video' (16)
2017-04-07 14:13:18.624 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Notes' (17)
2017-04-07 14:13:18.624 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Office Phone' (18)
2017-04-07 14:13:18.624 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Mobile' (19)
2017-04-07 14:13:18.625 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Personal Phone' (20)
2017-04-07 14:13:18.625 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Fax' (21)
2017-04-07 14:13:18.625 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Work Address 1' (22)
2017-04-07 14:13:18.625 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Work Address 2' (23)
2017-04-07 14:13:18.625 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Work City' (24)
2017-04-07 14:13:18.626 +0100	NewStarterRequest.fmp12	0	  Recovering: field 'Work State' (25)
